Symbol,Description,Quantity,Last Price,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,shares_to_sell
AAPL,APPLE INC,10.046,$210.72,2139.798,213.0,0.03225806451612903,0.08247287965400149,0.0,0.0,0.0,0.05021481513787246,1302.8472081146238,6.12
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,$309.49,189.66420227050781,305.9100036621094,0.03225806451612903,0.007310107275793225,0.024947957240335807,1533.5681680052624,5.01,0.0,0.0,0.0
AMZN,AMAZON.COM INC,1.0,$213.74,210.74249267578125,210.74249267578125,0.03225806451612903,0.008122514478672287,0.024135550037456745,1483.6289359554662,7.04,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,$96.80,9701.000213623047,97.01000213623047,0.03225806451612903,0.3738995097395065,0.0,0.0,0.0,0.34164144522337747,8864.049421737673,91.37
AVGO,BROADCOM INC COM,1.0,$231.9328,232.19839477539062,232.19839477539062,0.03225806451612903,0.008949475730028312,0.023308588786100717,1432.7950564904584,6.17,0.0,0.0,0.0
BSX,BOSTON SCIENTIFIC CORP,1.7,$102.995,174.91299896240233,102.88999938964844,0.03225806451612903,0.006741560985357822,0.025516503530771208,1568.5171012846379,15.24,0.0,0.0,0.0
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,$317.25,195.72764404296873,320.864990234375,0.03225806451612903,0.007543806673394874,0.024714257842734157,1519.2025045727291,4.73,0.0,0.0,0.0
ETN,EATON CORPORATION PLC,0.62,$331.935,205.1579962158203,330.8999938964844,0.03225806451612903,0.007907274767040368,0.024350789749088664,1496.8598697377186,4.52,0.0,0.0,0.0
GOOGL,ALPHABET INC CAP STK CL A,10.012,$159.7025,1632.7569783325196,163.0800018310547,0.03225806451612903,0.06293031855261526,0.0,0.0,0.0,0.030672254036486227,795.8061864471435,4.88
HD,HOME DEPOT INC,0.51,$374.77,191.49485229492188,375.4801025390625,0.03225806451612903,0.007380664860739138,0.024877399655389893,1529.2309445106898,4.07,0.0,0.0,0.0
KO,COCA-COLA CO,17.51,$69.0723,1206.6141641235354,68.91000366210938,0.03225806451612903,0.04650576584639015,0.0,0.0,0.0,0.014247701330261119,369.6633722381594,5.36
LIN,LINDE PLC COM EUR0.001,0.4,$453.91,178.81600341796877,447.0400085449219,0.03225806451612903,0.006891992015180714,0.025366072500948317,1559.2700019492404,3.49,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,0.82,$231.20,189.40770050048826,230.98500061035156,0.03225806451612903,0.007300221090457104,0.02495784342567193,1534.175878648199,6.64,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.35,$576.23,201.09950256347656,574.5700073242188,0.03225806451612903,0.007750850815542948,0.024507213700586082,1506.4753581089344,2.62,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,$657.42,216.56580322265626,656.260009765625,0.03225806451612903,0.008346958650468082,0.023911105865660948,1469.8321976476166,2.24,0.0,0.0,0.0
NVDA,NVIDIA CORPORATION COM,20.001,$129.695,2651.1326110382083,132.5500030517578,0.03225806451612903,0.10218092585232481,0.0,0.0,0.0,0.06992286133619578,1814.1818191528323,13.69
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,$194.395,190.6199951171875,190.6199951171875,0.03225806451612903,0.007346945794390947,0.024911118721738085,1531.3036788154784,8.03,0.0,0.0,0.0
PEP,PEPSICO INC,11.35,$130.23,1461.993472290039,128.80999755859375,0.03225806451612903,0.05634868884591544,0.0,0.0,0.0,0.02409062432978641,625.0426804046631,4.85
PG,PROCTER AND GAMBLE CO COM,1.12,$157.90,177.94560546875002,158.8800048828125,0.03225806451612903,0.006858444818054158,0.025399619698074874,1561.3321713342314,9.83,0.0,0.0,0.0
SNPS,SYNOPSYS INC,0.4,$513.63,206.8159912109375,517.0399780273438,0.03225806451612903,0.00797117781849627,0.02428688669763276,1492.931705014367,2.89,0.0,0.0,0.0
SYK,STRYKER CORPORATION COM,0.5,$388.84,193.04750061035156,386.0950012207031,0.03225806451612903,0.007440507601812557,0.024817556914316474,1525.5523698718011,3.95,0.0,0.0,0.0
TJX,TJX COMPANIES INC,1.42,$130.98,186.4542379760742,131.30580139160156,0.03225806451612903,0.0071863876541520865,0.025071676861976946,1541.1732986249249,11.74,0.0,0.0,0.0
UBER,UBER TECHNOLOGIES INC COM,2.5,$91.0901,227.09999084472656,90.83999633789062,0.03225806451612903,0.008752971175018378,0.02350509334111065,1444.874327251114,15.91,0.0,0.0,0.0
V,VISA INC,0.53,$354.83,189.01390258789064,356.6300048828125,0.03225806451612903,0.007285043186816825,0.024973021329312207,1535.1088748713187,4.3,0.0,0.0,0.0
WMT,WALMART INC COM,1.89,$96.0786,182.94121994018553,96.79429626464844,0.03225806451612903,0.007050987624010838,0.025207076892118194,1549.4964320250356,16.01,0.0,0.0,0.0
RSG,REPUBLIC SERVICES INC,8.73,$239.04,2069.097252044678,237.00999450683594,0.03225806451612903,0.07974790548467937,0.0,0.0,0.0,0.04748984096855034,1232.1464601593023,5.2
MCO,MOODYS CORP COM USD0.01,0.4,$486.79,193.78199462890626,484.4549865722656,0.03225806451612903,0.007468816739777377,0.024789247776351653,1523.8121876024359,3.15,0.0,0.0,0.0
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,$763.10,229.79849853515626,765.9949951171875,0.03225806451612903,0.008856978048563549,0.02340108646756548,1438.480952876368,1.88,0.0,0.0,0.0
CTAS,CINTAS CORP,0.87,$216.71,186.38880477905272,214.24000549316406,0.03225806451612903,0.007183865703863633,0.0250741988122654,1541.3283246515614,7.19,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,0.63,$342.13,217.72800384521486,345.6000061035156,0.03225806451612903,0.008391752613299192,0.02386631190282984,1467.0786818044223,4.25,0.0,0.0,0.0
LLY,ELI LILLY &CO COM,0.7,$746.80,515.6585205078125,736.655029296875,0.03225806451612903,0.019874699903636363,0.012383364612492669,761.2139783459866,1.03,0.0,0.0,0.0
