Symbol,Description,Quantity,Last Price,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,shares_to_sell
AAPL,APPLE INC,10.046,$212.29,2134.5239113159178,212.47500610351562,0.03225806451612903,0.08186879592043719,0.0,0.0,0.0,0.04961073140430816,1293.4756307309056,6.09
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,$306.735,190.35239318847655,307.0199890136719,0.03225806451612903,0.007300888572059536,0.024957175944069494,4.3055348075969295,0.01,0.0,0.0,0.0
AMZN,AMAZON.COM INC,1.0,$211.01,211.2747039794922,211.2747039794922,0.03225806451612903,0.00810335528758939,0.024154709228539642,4.167095731661625,0.02,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,$98.08,9811.840057373047,98.11840057373047,0.03225806451612903,0.3763291322259429,0.0,0.0,0.0,0.3440710677098139,8970.791776788035,91.43
AVGO,BROADCOM INC COM,1.0,$232.71,232.92999267578125,232.92999267578125,0.03225806451612903,0.008933935072372248,0.023324129443756784,4.023806675965453,0.02,0.0,0.0,0.0
BSX,BOSTON SCIENTIFIC CORP,1.7,$102.8295,174.92880935668944,102.89929962158203,0.03225806451612903,0.006709323291205932,0.0255487412249231,4.407589820287028,0.04,0.0,0.0,0.0
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,$320.56,195.51719329833983,320.5199890136719,0.03225806451612903,0.007498982378328295,0.024759082137800738,4.271360276793809,0.01,0.0,0.0,0.0
ETN,EATON CORPORATION PLC,0.62,$330.48,205.1579962158203,330.8999938964844,0.03225806451612903,0.007868751450661515,0.024389313065467516,4.207568860037707,0.01,0.0,0.0,0.0
GOOGL,ALPHABET INC CAP STK CL A,10.012,$164.03,1643.8703044433594,164.19000244140625,0.03225806451612903,0.06304997651264153,0.0,0.0,0.0,0.030791911996512503,802.8220238583473,4.89
HD,HOME DEPOT INC,0.51,$374.17,191.01540435791017,374.5400085449219,0.03225806451612903,0.007326318095634125,0.024931746420494907,4.301147784836968,0.01,0.0,0.0,0.0
KO,COCA-COLA CO,17.51,$68.92,1207.226944656372,68.94499969482422,0.03225806451612903,0.04630269815098718,0.0,0.0,0.0,0.014044633634858146,366.17866407136006,5.31
LIN,LINDE PLC COM EUR0.001,0.4,$446.695,178.8,447.0,0.03225806451612903,0.0068578012328519055,0.025400263283277127,4.381974864999229,0.01,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,0.82,$229.95,188.75169799804686,230.18499755859375,0.03225806451612903,0.007239494559473692,0.02501856995665534,4.316126312771986,0.02,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.35,$573.67,200.88775939941405,573.9650268554688,0.03225806451612903,0.007704968255448314,0.024553096260680717,4.235824230335621,0.01,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,$655.925,216.77690734863282,656.8997192382812,0.03225806451612903,0.008314390058553006,0.023943674457576024,4.1306886656525,0.01,0.0,0.0,0.0
NVDA,NVIDIA CORPORATION COM,20.001,$133.735,2678.133777923584,133.89999389648438,0.03225806451612903,0.10271873111849376,0.0,0.0,0.0,0.07046066660236473,1837.085497338572,13.72
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,$190.84,191.05999755859375,191.05999755859375,0.03225806451612903,0.007328028449698021,0.02493003606643101,4.30085271984356,0.02,0.0,0.0,0.0
PEP,PEPSICO INC,11.35,$128.43,1458.361562347412,128.49000549316406,0.03225806451612903,0.055934864206990564,0.0,0.0,0.0,0.023676799690861533,617.3132817624,4.8
PG,PROCTER AND GAMBLE CO COM,1.12,$158.33,177.37439453125,158.3699951171875,0.03225806451612903,0.006803122715283928,0.025454941800845104,4.391407833743141,0.03,0.0,0.0,0.0
SNPS,SYNOPSYS INC,0.4,$515.68,206.27199707031252,515.6799926757812,0.03225806451612903,0.007911478500064954,0.024346586016064077,4.200197721618652,0.01,0.0,0.0,0.0
SYK,STRYKER CORPORATION COM,0.5,$384.76,192.5800018310547,385.1600036621094,0.03225806451612903,0.0073863275949643675,0.024871736921164664,4.290795131606816,0.01,0.0,0.0,0.0
TJX,TJX COMPANIES INC,1.42,$130.96,186.14779479980467,131.08999633789062,0.03225806451612903,0.007139622912028881,0.02511844160410015,4.333355860511254,0.03,0.0,0.0,0.0
UBER,UBER TECHNOLOGIES INC COM,2.5,$90.355,226.02500915527344,90.41000366210938,0.03225806451612903,0.008669097239599537,0.023588967276529496,4.069495679798533,0.05,0.0,0.0,0.0
V,VISA INC,0.53,$355.755,188.74359741210938,356.1199951171875,0.03225806451612903,0.007239183864796797,0.025018880651332235,4.316179912856743,0.01,0.0,0.0,0.0
WMT,WALMART INC COM,1.89,$96.74,182.95540878295898,96.80180358886719,0.03225806451612903,0.007017180245574387,0.025240884270554646,4.354479290643584,0.04,0.0,0.0,0.0
RSG,REPUBLIC SERVICES INC,8.73,$236.57,2066.3909733581545,236.6999969482422,0.03225806451612903,0.07925558481347651,0.0,0.0,0.0,0.04699752029734748,1225.3426927731425,5.18
MCO,MOODYS CORP COM USD0.01,0.4,$481.21,192.57399902343752,481.43499755859375,0.03225806451612903,0.0073860973597212045,0.024871967156407826,4.290834851078907,0.01,0.0,0.0,0.0
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,$767.355,230.31300659179686,767.7100219726562,0.03225806451612903,0.008833561636169203,0.023424502879959827,4.041122790749386,0.01,0.0,0.0,0.0
CTAS,CINTAS CORP,0.87,$213.375,185.75369522094726,213.50999450683594,0.03225806451612903,0.007124507383070521,0.02513355713305851,4.335963544818617,0.02,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,0.63,$343.08,216.7074069213867,343.9800109863281,0.03225806451612903,0.008311724397950923,0.02394634011817811,4.131148537175354,0.01,0.0,0.0,0.0
LLY,ELI LILLY &CO COM,0.7,$726.4037,509.24999999999994,727.5,0.03225806451612903,0.01953207649792971,0.012725988018199321,2.195448094616601,0.0,0.0,0.0,0.0
