Symbol,Description,Quantity,Current Value,target_weight,current_weight,diff,buy_allocation,price,shares_to_buy
AAPL,APPLE INC,10.046,2125.83,0.03225806451612903,0.17015542531852665,0.0,0.0,208.69000244140625,0.0
ADP,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,292.0400085449219,0.62
AMZN,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,180.72140502929688,1.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,8105.0,0.03225806451612903,0.6487394204647873,0.0,0.0,79.15499877929688,0.0
AVGO,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,187.52000427246094,0.96
BSX,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,101.66999816894531,1.77
CDNS,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,294.95001220703125,0.61
ETN,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,287.239990234375,0.63
GOOG,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,158.72999572753906,1.13
HD,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,353.8550109863281,0.51
KO,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,71.70500183105469,2.51
LIN,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,447.9100036621094,0.4
LOW,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,220.0800018310547,0.82
MA,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,535.844970703125,0.34
META,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,537.5599975585938,0.33
NVDA,NVIDIA CORPORATION COM,20.001,2183.0,0.03225806451612903,0.17473141947867124,0.0,0.0,105.89990234375,0.0
PANW,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,183.75999450683594,0.98
PEP,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,133.27999877929688,1.35
PG,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,160.0749969482422,1.12
SNPS,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,452.5400085449219,0.4
SYK,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,367.0799865722656,0.49
TJX,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,126.66000366210938,1.42
UBER,UBER TECHNOLOGIES INC COM,1.0,79.63,0.03225806451612903,0.006373734738014929,0.025884329778114102,144.3065729259978,78.86499786376953,1.83
V,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,338.8599853515625,0.53
WMT,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,95.33910369873047,1.89
RSG,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,246.08999633789062,0.73
MCO,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,445.1499938964844,0.4
ASML,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,658.0250244140625,0.27
CTAS,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,206.92999267578125,0.87
PWR,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,284.5799865722656,0.63
LLY,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,179.84049729903717,885.8599853515625,0.2
